Fabian Habil#2501976503#100#100#100#1
Chris Brown#2508123502#94#92#87#1
Jake Paul#2341278201#72#70#42#0
Drake#2401285402#55#95#100#1
Luo Yi#2512345678#88#81#72#1
Lonzo Ball#2478123310#44#72#74#0
Steve Jobs#2131288742#100#100#100#1
Post Malone#2441238752#80#82#92#1
Travis Scott#2314802137#71#45#62#0
The Weeknd#2523108752#88#72#90#1
Trippie Redd#2314501321#62#51#70#0
Kevin Abstract#24111132859#88#72#94#1
Lionel Messi#2213487120#85#77#92#1
Wayne Rooney#2310457128#88#72#100#1
Luke Shaw#2217564829#77#82#100#1
